TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
6c00ffff,ffffffff,8e8519c4,00d41414,1890e042,1099104c,d091040e,8b1ca520,0124c700,020c0070,60810208,38982123,05846922
7400ffff,ffffffff,02b03a72,44438602,34205345,c6980a28,5070c0c0,841a2889,31424088,00105a60,210d8a5c,49b851a4,000b7122
7c00ffff,ffffffff,221c2080,25858102,0c621401,8517201c,6012e280,8a081c32,c1a98982,0245e056,c44f030e,08306000,c93e7922
0400ffff,ffffffff,28103990,f5848432,4419d200,d0081600,30340486,84063840,e0a08f84,0828a8a0,24410f30,2c321123,03010122
0c00ffff,ffffffff,00100910,e183852e,2848912c,40090604,0951a1d5,2e045c11,5020d09f,06706080,e2028400,481933c4,8b070922
1400ffff,ffffffff,3c1061b3,80838d2e,0c1800c2,839c322c,c9712284,293e5861,70a0c302,002810c6,e1840846,1118c061,01191122
1c00ffff,ffffffff,00310072,43d20112,9df94181,d31f1a5c,48d0c04b,8026ccb1,60074521,1c442040,008d111c,7810a20f,85061922
2400ffff,ffffffff,12004960,43aa0718,5421a147,0f801004,00d18149,99740c21,21610802,08004148,0244870a,64195089,828a2122
2c00ffff,ffffffff,2c6c38b0,00090120,6828f1e0,81806420,8803e342,81100418,82e2c10a,14340811,00470e22,0d4891c2,c18c2922
3400ffff,ffffffff,0a081810,0040080a,1c085162,218d006c,a820c244,83143018,f100c032,2e306021,a1dc0702,045042c3,cf143122
3c00ffff,ffffffff,26401000,8144950a,0d10a041,831e0e48,0010a6c1,92003890,336bcb0b,205489e2,23c18d24,188862a3,84073922
4400ffff,ffffffff,16146072,a4859534,1ce00022,c401480c,68800055,06200898,928f15ca,12042000,81cb8414,0c10c502,4a8b4122
4c00ffff,ffffffff,265c9802,86808930,006832e1,4a0c2410,9031208c,052b24e3,81800697,1c3810b3,4083171c,2468a1c5,c21c4922
5400ffff,ffffffff,224d8861,00401104,043001e4,12004e50,4181c081,80660570,72cb6a93,00280960,2444b90e,60486322,86085122
5c00ffff,ffffffff,00680150,c0168206,001970c4,861b0241,d900a60d,05222808,94228815,0a1001c1,0380a304,1931a040,d5015922
6400ffff,ffffffff,042dbb30,21060006,14c29240,c7852e24,10654040,81262930,11e20008,0630d882,020a185a,40f29023,c08a6122
6c00ffff,ffffffff,04080841,40d98502,083020c0,c2890600,68f082c0,044e1478,f1838686,1e000121,a1061512,dc10e003,ff976922
7400ffff,ffffffff,08253172,20cb0304,ac604100,04049614,02324582,16520010,01458d09,3e113400,6c0bcc14,4c0053a5,dd0c7122
7c00ffff,ffffffff,04381062,a0092d14,445b40ce,81807600,58b00341,0b1a4108,10a0cc12,0810f861,6100011a,3c510048,02057922
0400ffff,ffffffff,0ef0b99f,8146835a,04302620,cc0a1c20,69024581,1a2a5010,11610383,143440c2,c3958716,098530e1,9a980122
0c00ffff,ffffffff,0620b9a0,65000308,0878d1c1,d38b1c08,50d06111,87367020,d0a24085,220459b4,408b161c,08b80287,c5830922
1400ffff,ffffffff,20461841,84c38256,241031a0,80802c0d,18908847,89642810,00aac582,12707041,2207861a,281011e0,03171122
1c00ffff,ffffffff,36701890,46168220,005070e0,841b1010,f9b0a0c1,8f060400,60848134,18282830,07829404,102861c6,4c8b1922
2400ffff,ffffffff,a05028e2,21050c0a,04526284,808a0e38,00c06382,843c3c00,a080cf81,02343004,649a8044,495821a3,44002122
2c00ffff,ffffffff,12205120,c680031e,083c41cc,43812634,18b1494d,af100428,2544810a,18387950,e103b01a,59298142,0e812922
3400ffff,ffffffff,024c30f3,a24e0a16,0c882023,8512103c,00f96251,0e028d28,b362418f,26209052,c3800358,a868d220,038f3122
3c00ffff,ffffffff,2c187b21,c0929506,5c6b8408,42011a10,3a6347ca,820a2c29,50011a58,221c02d0,024a0609,2888b0a0,43053922
4400ffff,ffffffff,6404d010,83818337,503030a2,0d861c69,00022003,11000cd9,e222812e,26fc2881,e0100d0a,3c384140,8f074122
4c00ffff,ffffffff,ce04c833,a5822e2c,640031c2,8904020c,a84000cb,8a145420,f0a38007,06387815,21090a02,04591380,9d0c4922
5400ffff,ffffffff,0cb848b1,0454810a,78d02164,0598243c,60114211,06160828,90031284,560408b2,2344135a,14491089,454b5122
5c00ffff,ffffffff,04ac5030,a8088b1c,00505042,80803448,29b14608,970c2840,a1068a0d,0a080011,00c88a2a,300082a9,870b5922
6400ffff,ffffffff,0a14f9b4,4786870e,2878314d,84024c60,71002d85,0104c498,d060008a,02244033,40c8a414,0c328160,48876122
6c00ffff,ffffffff,8f788000,050a0a06,407b700f,c1821a08,90208488,080a0830,71e30307,141028e0,660a1908,00507201,82206922
7400ffff,ffffffff,36b859f1,c4cf1006,28216425,408a6e0c,81f02084,07082428,10a38401,2a104011,6186023c,c4301145,4e007122
7c00ffff,ffffffff,3c0c8070,e0850f26,00f041a0,c413203c,08f00186,15000c09,e0e60011,462cd801,c14d031e,282900e0,c00f7922
0400ffff,ffffffff,00390002,c34d211a,007096e0,02030648,a880a054,05224c68,e182458b,10255001,41939f72,9881d222,c1060122
0c00ffff,ffffffff,14540860,a00a0002,5411d042,80001650,60f96100,0c203010,2281c500,1c048804,42c1002c,0000522a,c1010922
1400ffff,ffffffff,0811c8d0,8483190e,54c872a0,800d0a94,39716200,8c06a4da,30e08b14,129c7970,c1c0161e,88a041e0,058c1122
1c00ffff,ffffffff,42a038b1,62a30838,08e07266,51872414,59148505,84061cd9,b0a00394,2e6c6992,81cd8300,08217043,84071922
2400ffff,ffffffff,2a08b0f1,8a438e1e,44501481,04100054,08f76805,053a2c00,00c885b8,a2346834,44c62440,1c58a243,07952122
2c00ffff,ffffffff,9205b8b7,e2c60b2a,0c10d081,0ba25e4c,71e0e240,870a0820,e0008196,0d6878b0,20049c0e,54492104,c38f2922
3400ffff,ffffffff,184c38a0,21461810,1008d167,47851828,29072097,8c024570,80e68399,0c232840,64050724,1c207481,001f3122
